defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/MP_0002675	asthenozoospermia	http://purl.obolibrary.org/obo/GO_0030317	flagellated sperm motility
http://purl.obolibrary.org/obo/MP_0005156	bradykinesia	http://purl.obolibrary.org/obo/GO_0050881	musculoskeletal movement
http://purl.obolibrary.org/obo/MP_0001830	decreased activated T cell number	http://purl.obolibrary.org/obo/GO_0050798	activated T cell proliferation
http://purl.obolibrary.org/obo/MP_0004993	decreased bone resorption	http://purl.obolibrary.org/obo/GO_0045453	bone resorption
http://purl.obolibrary.org/obo/MP_0012311	decreased defecation amount	http://purl.obolibrary.org/obo/GO_0030421	defecation
http://purl.obolibrary.org/obo/MP_0002711	decreased glucagon secretion	http://purl.obolibrary.org/obo/GO_0070091	glucagon secretion
http://purl.obolibrary.org/obo/MP_0002715	decreased glycogen catabolism rate	http://purl.obolibrary.org/obo/GO_0005980	glycogen catabolic process
http://purl.obolibrary.org/obo/MP_0008563	decreased interferon-alpha secretion	http://purl.obolibrary.org/obo/GO_0072642	interferon-alpha secretion
http://purl.obolibrary.org/obo/MP_0008565	decreased interferon-beta secretion	http://purl.obolibrary.org/obo/GO_0035546	interferon-beta secretion
http://purl.obolibrary.org/obo/MP_0008567	decreased interferon-gamma secretion	http://purl.obolibrary.org/obo/GO_0072643	interferon-gamma secretion
http://purl.obolibrary.org/obo/MP_0008655	decreased interleukin-1 alpha secretion	http://purl.obolibrary.org/obo/GO_0050703	interleukin-1 alpha secretion
http://purl.obolibrary.org/obo/MP_0008658	decreased interleukin-1 beta secretion	http://purl.obolibrary.org/obo/GO_0050702	interleukin-1 beta secretion
http://purl.obolibrary.org/obo/MP_0008652	decreased interleukin-1 secretion	http://purl.obolibrary.org/obo/GO_0050701	interleukin-1 secretion
http://purl.obolibrary.org/obo/MP_0008661	decreased interleukin-10 secretion	http://purl.obolibrary.org/obo/GO_0072608	interleukin-10 secretion
http://purl.obolibrary.org/obo/MP_0008664	decreased interleukin-12 secretion	http://purl.obolibrary.org/obo/GO_0072610	interleukin-12 secretion
http://purl.obolibrary.org/obo/MP_0008673	decreased interleukin-13 secretion	http://purl.obolibrary.org/obo/GO_0072611	interleukin-13 secretion
http://purl.obolibrary.org/obo/MP_0008676	decreased interleukin-15 secretion	http://purl.obolibrary.org/obo/GO_0072613	interleukin-15 secretion
http://purl.obolibrary.org/obo/MP_0008679	decreased interleukin-16 secretion	http://purl.obolibrary.org/obo/GO_0072614	interleukin-16 secretion
http://purl.obolibrary.org/obo/MP_0008682	decreased interleukin-17 secretion	http://purl.obolibrary.org/obo/GO_0072615	interleukin-17 secretion
http://purl.obolibrary.org/obo/MP_0008685	decreased interleukin-18 secretion	http://purl.obolibrary.org/obo/GO_0072616	interleukin-18 secretion
http://purl.obolibrary.org/obo/MP_0008688	decreased interleukin-2 secretion	http://purl.obolibrary.org/obo/GO_0070970	interleukin-2 secretion
http://purl.obolibrary.org/obo/MP_0009058	decreased interleukin-21 secretion	http://purl.obolibrary.org/obo/GO_0072619	interleukin-21 secretion
http://purl.obolibrary.org/obo/MP_0008691	decreased interleukin-23 secretion	http://purl.obolibrary.org/obo/GO_0072621	interleukin-23 secretion
http://purl.obolibrary.org/obo/MP_0008697	decreased interleukin-3 secretion	http://purl.obolibrary.org/obo/GO_0072601	interleukin-3 secretion
http://purl.obolibrary.org/obo/MP_0008700	decreased interleukin-4 secretion	http://purl.obolibrary.org/obo/GO_0072602	interleukin-4 secretion
http://purl.obolibrary.org/obo/MP_0008703	decreased interleukin-5 secretion	http://purl.obolibrary.org/obo/GO_0072603	interleukin-5 secretion
http://purl.obolibrary.org/obo/MP_0008706	decreased interleukin-6 secretion	http://purl.obolibrary.org/obo/GO_0072604	interleukin-6 secretion
http://purl.obolibrary.org/obo/MP_0008709	decreased interleukin-7 secretion	http://purl.obolibrary.org/obo/GO_0072605	interleukin-7 secretion
http://purl.obolibrary.org/obo/MP_0011718	decreased interleukin-8 secretion	http://purl.obolibrary.org/obo/GO_0072606	interleukin-8 secretion
http://purl.obolibrary.org/obo/MP_0008712	decreased interleukin-9 secretion	http://purl.obolibrary.org/obo/GO_0072607	interleukin-9 secretion
http://purl.obolibrary.org/obo/MP_0013759	decreased intestinal glucose absorption	http://purl.obolibrary.org/obo/GO_0001951	intestinal D-glucose absorption
http://purl.obolibrary.org/obo/MP_0005517	decreased liver regeneration	http://purl.obolibrary.org/obo/GO_0097421	liver regeneration
http://purl.obolibrary.org/obo/MP_0003355	decreased ovulation rate	http://purl.obolibrary.org/obo/GO_0030728	ovulation
http://purl.obolibrary.org/obo/MP_0005528	decreased renal glomerular filtration rate	http://purl.obolibrary.org/obo/GO_0003094	glomerular filtration
