defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/PLANP_0000584	abnormal ER membrane	http://purl.obolibrary.org/obo/PLANA_0002034	ER membrane
http://purl.obolibrary.org/obo/PLANP_0000220	abnormal Golgi apparatus	http://purl.obolibrary.org/obo/PLANA_0000528	Golgi apparatus
http://purl.obolibrary.org/obo/PLANP_0000544	abnormal Hyman vesicle	http://purl.obolibrary.org/obo/PLANA_0000138	Hyman vesicle
http://purl.obolibrary.org/obo/PLANP_0000187	abnormal actin-based cell projection	http://purl.obolibrary.org/obo/PLANA_0000502	actin-based cell projection
http://purl.obolibrary.org/obo/PLANP_0000550	abnormal adenal rhabdite	http://purl.obolibrary.org/obo/PLANA_0002000	adenal rhabdite
http://purl.obolibrary.org/obo/PLANP_0000551	abnormal adherens junction	http://purl.obolibrary.org/obo/PLANA_0002001	adherens junction
http://purl.obolibrary.org/obo/PLANP_0000552	abnormal adhesive papilla	http://purl.obolibrary.org/obo/PLANA_0002002	adhesive papilla
http://purl.obolibrary.org/obo/PLANP_0000558	abnormal axon	http://purl.obolibrary.org/obo/PLANA_0002008	axon
http://purl.obolibrary.org/obo/PLANP_0000559	abnormal axoneme	http://purl.obolibrary.org/obo/PLANA_0002009	axoneme
http://purl.obolibrary.org/obo/PLANP_0000560	abnormal basal body	http://purl.obolibrary.org/obo/PLANA_0002010	basal body
http://purl.obolibrary.org/obo/PLANP_0000206	abnormal bounding membrane of organelle	http://purl.obolibrary.org/obo/PLANA_0000521	bounding membrane of organelle
http://purl.obolibrary.org/obo/PLANP_0000564	abnormal cell body	http://purl.obolibrary.org/obo/PLANA_0002014	cell body
http://purl.obolibrary.org/obo/PLANP_0000420	abnormal cell junction	http://purl.obolibrary.org/obo/PLANA_0000506	cell junction
http://purl.obolibrary.org/obo/PLANP_0000366	abnormal cell projection	http://purl.obolibrary.org/obo/PLANA_0000501	cell projection
http://purl.obolibrary.org/obo/PLANP_0000094	abnormal cell-cell adhesion	http://purl.obolibrary.org/obo/PLANA_0000508	cell-cell adhesion
http://purl.obolibrary.org/obo/PLANP_0000110	abnormal cell-cell contact zone	http://purl.obolibrary.org/obo/PLANA_0000505	cell-cell contact zone
http://purl.obolibrary.org/obo/PLANP_0000265	abnormal cell-cell junction	http://purl.obolibrary.org/obo/PLANA_0000507	cell-cell junction
http://purl.obolibrary.org/obo/PLANP_0000119	abnormal chromatin	http://purl.obolibrary.org/obo/PLANA_0000534	chromatin
http://purl.obolibrary.org/obo/PLANP_0000570	abnormal chromatoid body	http://purl.obolibrary.org/obo/PLANA_0002020	chromatoid body
http://purl.obolibrary.org/obo/PLANP_0000670	abnormal chromosomal:structural:element	http://purl.obolibrary.org/obo/PLANA_0002123	chromosomal_structural_element
http://purl.obolibrary.org/obo/PLANP_0000571	abnormal chromosome	http://purl.obolibrary.org/obo/PLANA_0002021	chromosome
http://purl.obolibrary.org/obo/PLANP_0000572	abnormal chromosome arm	http://purl.obolibrary.org/obo/PLANA_0002022	chromosome arm
http://purl.obolibrary.org/obo/PLANP_0000668	abnormal chromosome:part	http://purl.obolibrary.org/obo/PLANA_0002121	chromosome part
http://purl.obolibrary.org/obo/PLANP_0000668	abnormal chromosome:part	http://purl.obolibrary.org/obo/PLANA_0002121	chromosome_part
http://purl.obolibrary.org/obo/PLANP_0000574	abnormal cilium	http://purl.obolibrary.org/obo/PLANA_0002024	cilium
http://purl.obolibrary.org/obo/PLANP_0000232	abnormal cytoplasm	http://purl.obolibrary.org/obo/PLANA_0000510	cytoplasm
http://purl.obolibrary.org/obo/PLANP_0000146	abnormal cytoplasmic part	http://purl.obolibrary.org/obo/PLANA_0000513	cytoplasmic part
http://purl.obolibrary.org/obo/PLANP_0000001	abnormal cytoplasmic vesicle part	http://purl.obolibrary.org/obo/PLANA_0000514	cytoplasmic vesicle part
http://purl.obolibrary.org/obo/PLANP_0000577	abnormal dendrite	http://purl.obolibrary.org/obo/PLANA_0002027	dendrite
http://purl.obolibrary.org/obo/PLANP_0000313	abnormal endoplasmic reticulum	http://purl.obolibrary.org/obo/PLANA_0007513	endoplasmic reticulum
http://purl.obolibrary.org/obo/PLANP_0000583	abnormal epidermal rhabdite	http://purl.obolibrary.org/obo/PLANA_0002033	epidermal rhabdite
http://purl.obolibrary.org/obo/PLANP_0000248	abnormal epithelial cell component	http://purl.obolibrary.org/obo/PLANA_0000430	epithelial cell component
http://purl.obolibrary.org/obo/PLANP_0000271	abnormal euchromatin	http://purl.obolibrary.org/obo/PLANA_0000536	euchromatin
http://purl.obolibrary.org/obo/PLANP_0000585	abnormal eumelanin	http://purl.obolibrary.org/obo/PLANA_0002035	eumelanin
http://purl.obolibrary.org/obo/PLANP_0000039	abnormal extracellular organelle	http://purl.obolibrary.org/obo/PLANA_0007511	extracellular organelle
http://purl.obolibrary.org/obo/PLANP_0000590	abnormal flagellum	http://purl.obolibrary.org/obo/PLANA_0002040	flagellum
