defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/PLANP_0000789	head regression	http://purl.obolibrary.org/obo/PLANA_0000418	head
http://purl.obolibrary.org/obo/PLANP_0000789	head regression	http://purl.obolibrary.org/obo/PLANA_0000418	head region
http://purl.obolibrary.org/obo/PLANP_0000790	tail regression	http://purl.obolibrary.org/obo/PLANA_0000421	tail
http://purl.obolibrary.org/obo/PLANP_0000790	tail regression	http://purl.obolibrary.org/obo/PLANA_0000421	tail region
