defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/PHIPO_0001137	increased number of hyphal septa	http://purl.obolibrary.org/obo/GO_0030428	cell septum
http://purl.obolibrary.org/obo/PHIPO_0000517	lipid droplets present in increased numbers	http://purl.obolibrary.org/obo/GO_0005811	lipid droplet
