defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/PHIPO_0001019	decreased rate of asexual spore germination	http://purl.obolibrary.org/obo/GO_0009847	spore germination
http://purl.obolibrary.org/obo/PHIPO_0001089	decreased rate of germination tube formation	http://purl.obolibrary.org/obo/GO_0075009	germ tube formation
http://purl.obolibrary.org/obo/PHIPO_0001088	decreased rate of hyphae formation	http://purl.obolibrary.org/obo/GO_0030448	hyphal growth
http://purl.obolibrary.org/obo/PHIPO_0001085	decreased unicellular population growth rate	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
