defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/PHIPO_0000156	increased RNA binding	http://purl.obolibrary.org/obo/GO_0003723	RNA binding
http://purl.obolibrary.org/obo/PHIPO_0000437	increased catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/PHIPO_0001238	increased chitinase activity	http://purl.obolibrary.org/obo/GO_0004568	chitinase activity
