defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/PHIPO_0001061	decreased RNA level	http://purl.obolibrary.org/obo/CHEBI_33697	ribonucleic acid
http://purl.obolibrary.org/obo/PHIPO_0001023	decreased cellular cAMP level	http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP
http://purl.obolibrary.org/obo/PHIPO_0001032	decreased level of pyocyanin	http://purl.obolibrary.org/obo/CHEBI_8653	pyocyanine
http://purl.obolibrary.org/obo/PHIPO_0001035	decreased level of substance in cell	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity
http://purl.obolibrary.org/obo/PHIPO_0001027	decreased protein level	http://purl.obolibrary.org/obo/CHEBI_36080	protein
