defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label
http://purl.obolibrary.org/obo/PHIPO_0000945	altered cellular reactive oxygen species level	http://purl.obolibrary.org/obo/CHEBI_26523	reactive oxygen species	http://purl.obolibrary.org/obo/CL_0000000	cell
http://purl.obolibrary.org/obo/PHIPO_0000944	altered level of substance in cell	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity	http://purl.obolibrary.org/obo/CL_0000000	cell
