defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/PHIPO_0000970	autophagosomes present in decreased numbers	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/PHIPO_0000018	lipid droplets present in decreased numbers	http://purl.obolibrary.org/obo/GO_0005811	lipid droplet
