defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/PHIPO_0001060	altered RNA level	http://purl.obolibrary.org/obo/CHEBI_33697	ribonucleic acid
http://purl.obolibrary.org/obo/PHIPO_0001022	altered cellular cAMP level	http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP
http://purl.obolibrary.org/obo/PHIPO_0001025	altered protein level	http://purl.obolibrary.org/obo/CHEBI_36080	protein
