defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/WBPhenotype_0000727	enzyme activity variant	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/WBPhenotype_0001695	glycosyltransferase activity variant	http://purl.obolibrary.org/obo/GO_0016757	glycosyltransferase activity
