defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/FBcv_0000423	abnormal DNA repair	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/FBcv_0007529	abnormal adult locomotory behavior	http://purl.obolibrary.org/obo/GO_0008344	adult locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007527	abnormal adult walking behavior	http://purl.obolibrary.org/obo/GO_0007628	adult walking behavior
http://purl.obolibrary.org/obo/FBcv_0007500	abnormal anesthesia-resistant memory	http://purl.obolibrary.org/obo/GO_0007615	anesthesia-resistant memory
http://purl.obolibrary.org/obo/FBcv_0000407	abnormal auditory perception	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound
http://purl.obolibrary.org/obo/FBcv_0000686	abnormal axis specification	http://purl.obolibrary.org/obo/GO_0009798	axis specification
http://purl.obolibrary.org/obo/FBcv_0000387	abnormal behavior	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/FBcv_0000668	abnormal cell adhesion	http://purl.obolibrary.org/obo/GO_0007155	cell adhesion
http://purl.obolibrary.org/obo/FBcv_0000671	abnormal cell cycle	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
http://purl.obolibrary.org/obo/FBcv_0000424	abnormal cell death	http://purl.obolibrary.org/obo/GO_0008219	cell death
http://purl.obolibrary.org/obo/FBcv_0000427	abnormal cell growth	http://purl.obolibrary.org/obo/GO_0016049	cell growth
http://purl.obolibrary.org/obo/FBcv_0000716	abnormal cell migration	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/FBcv_0000403	abnormal chemosensory behavior	http://purl.obolibrary.org/obo/GO_0007635	chemosensory behavior
http://purl.obolibrary.org/obo/FBcv_0000679	abnormal circadian behavior	http://purl.obolibrary.org/obo/GO_0048512	circadian behavior
http://purl.obolibrary.org/obo/FBcv_0000394	abnormal circadian rhythm	http://purl.obolibrary.org/obo/GO_0007623	circadian rhythm
http://purl.obolibrary.org/obo/FBcv_0000684	abnormal cold stress response	http://purl.obolibrary.org/obo/GO_0009409	response to cold
http://purl.obolibrary.org/obo/FBcv_0006000	abnormal copulation	http://purl.obolibrary.org/obo/GO_0007620	copulation
http://purl.obolibrary.org/obo/FBcv_0000399	abnormal courtship behavior	http://purl.obolibrary.org/obo/GO_0007619	courtship behavior
http://purl.obolibrary.org/obo/FBcv_0000433	abnormal cytokinesis	http://purl.obolibrary.org/obo/GO_0000910	cytokinesis
http://purl.obolibrary.org/obo/FBcv_0000706	abnormal diapause	http://purl.obolibrary.org/obo/GO_0055115	entry into diapause
http://purl.obolibrary.org/obo/FBcv_0000324	abnormal dorsal/ventral axis specification	http://purl.obolibrary.org/obo/GO_0009950	dorsal/ventral axis specification
http://purl.obolibrary.org/obo/FBcv_0000670	abnormal eclosion	http://purl.obolibrary.org/obo/GO_0007562	eclosion
http://purl.obolibrary.org/obo/FBcv_0000396	abnormal eclosion rhythm	http://purl.obolibrary.org/obo/GO_0008062	eclosion rhythm
http://purl.obolibrary.org/obo/FBcv_0000672	abnormal endomitotic cell cycle	http://purl.obolibrary.org/obo/GO_0007113	endomitotic cell cycle
http://purl.obolibrary.org/obo/FBcv_0000419	abnormal feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/FBcv_0000417	abnormal flight	http://purl.obolibrary.org/obo/GO_0060361	flight
http://purl.obolibrary.org/obo/FBcv_0000388	abnormal gravitaxis	http://purl.obolibrary.org/obo/GO_0048060	negative gravitaxis
http://purl.obolibrary.org/obo/FBcv_0000420	abnormal grooming behavior	http://purl.obolibrary.org/obo/GO_0007625	grooming behavior
http://purl.obolibrary.org/obo/FBcv_0000669	abnormal hatching behavior	http://purl.obolibrary.org/obo/GO_0035187	hatching behavior
http://purl.obolibrary.org/obo/FBcv_0000410	abnormal heat stress response	http://purl.obolibrary.org/obo/GO_0009408	response to heat
http://purl.obolibrary.org/obo/FBcv_0000448	abnormal immune response	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/FBcv_0000720	abnormal jump response	http://purl.obolibrary.org/obo/GO_0007630	jump response
http://purl.obolibrary.org/obo/FBcv_0007528	abnormal larval locomotory behavior	http://purl.obolibrary.org/obo/GO_0008345	larval locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0000397	abnormal learning	http://purl.obolibrary.org/obo/GO_0007612	learning
http://purl.obolibrary.org/obo/FBcv_0000414	abnormal locomotor behavior	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0000395	abnormal locomotor rhythm	http://purl.obolibrary.org/obo/GO_0045475	locomotor rhythm
http://purl.obolibrary.org/obo/FBcv_0007503	abnormal long-term memory	http://purl.obolibrary.org/obo/GO_0007616	long-term memory
http://purl.obolibrary.org/obo/FBcv_0000400	abnormal mating	http://purl.obolibrary.org/obo/GO_0007618	mating
http://purl.obolibrary.org/obo/FBcv_0000721	abnormal mating behavior	http://purl.obolibrary.org/obo/GO_0007617	mating behavior
http://purl.obolibrary.org/obo/FBcv_0000401	abnormal mating rhythm	http://purl.obolibrary.org/obo/GO_0035648	circadian mating behavior
http://purl.obolibrary.org/obo/FBcv_0007502	abnormal medium-term memory	http://purl.obolibrary.org/obo/GO_0072375	medium-term memory
http://purl.obolibrary.org/obo/FBcv_0000431	abnormal meiotic cell cycle	http://purl.obolibrary.org/obo/GO_0051321	meiotic cell cycle
http://purl.obolibrary.org/obo/FBcv_0000398	abnormal memory	http://purl.obolibrary.org/obo/GO_0007613	memory
http://purl.obolibrary.org/obo/FBcv_0000432	abnormal mitotic cell cycle	http://purl.obolibrary.org/obo/GO_0000278	mitotic cell cycle
http://purl.obolibrary.org/obo/FBcv_0000412	abnormal optomotor response	http://purl.obolibrary.org/obo/GO_0007634	optokinetic behavior
http://purl.obolibrary.org/obo/FBcv_0000409	abnormal osmotic stress response	http://purl.obolibrary.org/obo/GO_0006970	response to osmotic stress
http://purl.obolibrary.org/obo/FBcv_0006004	abnormal oviposition	http://purl.obolibrary.org/obo/GO_0018991	egg-laying behavior
http://purl.obolibrary.org/obo/FBcv_0000725	abnormal oxidative stress response	http://purl.obolibrary.org/obo/GO_0006979	response to oxidative stress
http://purl.obolibrary.org/obo/FBcv_0000393	abnormal pain response	http://purl.obolibrary.org/obo/GO_0048265	response to pain
http://purl.obolibrary.org/obo/FBcv_0000413	abnormal phototaxis	http://purl.obolibrary.org/obo/GO_0042331	phototaxis
http://purl.obolibrary.org/obo/FBcv_0000449	abnormal planar polarity	http://purl.obolibrary.org/obo/GO_0001736	establishment of planar polarity
http://purl.obolibrary.org/obo/FBcv_0000680	abnormal proboscis extension reflex	http://purl.obolibrary.org/obo/GO_0007637	proboscis extension reflex
http://purl.obolibrary.org/obo/FBcv_0000707	abnormal reproductive diapause	http://purl.obolibrary.org/obo/GO_0055116	entry into reproductive diapause
http://purl.obolibrary.org/obo/FBcv_0000681	abnormal sensory perception	http://purl.obolibrary.org/obo/GO_0007600	sensory perception
http://purl.obolibrary.org/obo/FBcv_0000436	abnormal sex-determination	http://purl.obolibrary.org/obo/GO_0007530	sex determination
http://purl.obolibrary.org/obo/FBcv_0007501	abnormal short-term memory	http://purl.obolibrary.org/obo/GO_0007614	short-term memory
http://purl.obolibrary.org/obo/FBcv_0000705	abnormal sleep	http://purl.obolibrary.org/obo/GO_0030431	sleep
http://purl.obolibrary.org/obo/FBcv_0000404	abnormal smell perception	http://purl.obolibrary.org/obo/GO_0007608	sensory perception of smell
http://purl.obolibrary.org/obo/FBcv_0000402	abnormal song	http://purl.obolibrary.org/obo/GO_0045433	male courtship behavior, veined wing generated song production
http://purl.obolibrary.org/obo/FBcv_0000708	abnormal starvation stress response	http://purl.obolibrary.org/obo/GO_0042594	response to starvation
http://purl.obolibrary.org/obo/FBcv_0000408	abnormal stress response	http://purl.obolibrary.org/obo/GO_0006950	response to stress
http://purl.obolibrary.org/obo/FBcv_0000405	abnormal taste perception	http://purl.obolibrary.org/obo/GO_0050909	sensory perception of taste
